code,name,industry,outstanding,totals,timeToMarket
002926,华西证券,证券,5.25,26.25,20180205
603690,至纯科技,专用机械,0.91,2.1,20170113
600893,航发动力,航空,19.48,22.5,19960408
600230,沧州大化,农药化肥,4.12,4.12,20000406
000638,万方发展,批发业,3.09,3.09,19961126
600057,厦门象屿,仓储物流,21.38,21.57,19970604
603607,京华激光,造纸,0.32,1.28,20171025
600363,联创光电,元器件,4.43,4.43,20010329
601877,正泰电器,电气设备,17.29,21.51,20100121
603617,君禾股份,专用机械,0.25,1.02,20170703
002845,同兴达,元器件,0.62,2.03,20170125
600960,渤海汽车,汽车配件,6.8,9.51,20040407
600113,浙江东日,区域地产,3.19,3.19,19971021
300059,东方财富,互联网,41.53,51.68,20100319
300584,海辰药业,化学制药,0.47,1.2,20170112
600769,祥龙电业,建筑施工,3.75,3.75,19961101
002377,国创高新,石油加工,4.32,9.16,20100323
300663,科蓝软件,软件服务,1.23,2.02,20170608
000918,嘉凯城,全国地产,18.04,18.04,19990720
603166,福达股份,汽车配件,5.92,5.98,20141127
300168,万达信息,软件服务,10.59,10.68,20110125
000617,中油资本,多元金融,2.88,90.3,19961022
601998,中信银行,银行,319.05,489.35,20070427
600136,当代明诚,影视音像,3.44,4.87,19980303
000610,西安旅游,旅游服务,2.35,2.37,19960926
600131,岷江水电,水力发电,4.08,5.04,19980402
000768,中航飞机,航空,27.69,27.69,19970626
300063,天龙集团,染料涂料,4.11,7.26,20100326
002243,通产丽星,塑料,3.65,3.65,20080528
002132,恒星科技,钢加工,12.54,12.56,20070427
600439,瑞贝卡,服饰,11.32,11.32,20030710
002284,亚太股份,汽车配件,6.86,7.38,20090828
300465,高伟达,软件服务,4.27,4.47,20150528
002333,罗普斯金,铝,4.85,5.03,20100112
600845,宝信软件,软件服务,6.1,8.77,19940311
000066,中国长城,电脑设备,24.91,29.44,19970626
600903,贵州燃气,供气供热,1.22,8.13,20171107
601318,中国平安,保险,108.33,182.8,20070301
002909,集泰股份,化工原料,0.42,1.68,20171026
603383,顶点软件,软件服务,0.57,1.2,20170522
300219,鸿利智汇,元器件,5.44,7.13,20110518
002142,宁波银行,银行,44.91,50.7,20070719
601818,光大银行,银行,398.1,524.89,20100818
300081,恒信东方,通信设备,3.16,5.31,20100520
002583,海能达,通信设备,10.48,18.16,20110527
600677,航天通信,通信设备,4.16,5.22,19930928
600919,江苏银行,银行,60.08,115.44,20160802
300176,鸿特科技,汽车配件,2.0,2.04,20110215
002887,绿茵生态,建筑施工,0.4,1.6,20170801
300271,华宇软件,软件服务,5.12,7.56,20111026
600030,中信证券,证券,98.15,121.17,20030106
600237,铜峰电子,元器件,5.64,5.64,20000609
002600,领益智造,元器件,13.28,67.84,20110715
300356,光一科技,电气设备,3.69,4.15,20121009
300099,精准信息,电器仪表,3.92,6.69,20100806
600561,江西长运,公共交通,2.37,2.37,20020716
000697,炼石有色,航空,4.54,5.6,19970325
300010,立思辰,软件服务,6.43,8.73,20091030
300047,天源迪科,软件服务,2.83,3.99,20100120
002638,勤上股份,半导体,9.79,15.19,20111125
300567,精测电子,电器仪表,0.82,1.64,20161122
002726,龙大肉食,食品,7.51,7.56,20140626
002599,盛通股份,广告包装,1.9,3.25,20110715
002581,未名医药,生物制药,3.43,6.6,20110520
300191,潜能恒信,石油开采,2.07,3.2,20110316
603601,再升科技,玻璃,5.41,5.41,20150122
300076,GQY视讯,电脑设备,3.68,4.24,20100430
300050,世纪鼎利,软件服务,3.65,5.61,20100120
300001,特锐德,电气设备,8.68,9.98,20091030
002267,陕天然气,供气供热,11.12,11.12,20080813
002042,华孚时尚,纺织,15.18,15.19,20050427
603823,百合花,染料涂料,0.7,2.25,20161220
603538,美诺华,化学制药,0.89,1.44,20170407
002336,人人乐,超市连锁,3.39,4.0,20100113
002791,坚朗五金,其他建材,0.8,3.22,20160329
300634,彩讯股份,软件服务,0.4,4.0,20180323
600851,海欣股份,纺织,7.38,12.07,19940404
300119,瑞普生物,生物制药,2.05,4.04,20100917
300226,上海钢联,互联网,1.52,1.59,20110608
000158,常山北明,纺织,14.79,16.53,20000724
601166,兴业银行,银行,190.52,207.74,20070205
601211,国泰君安,证券,75.16,87.14,20150626
600039,四川路桥,建筑施工,30.2,36.11,20030325
600533,栖霞建设,区域地产,10.5,10.5,20020328
300354,东华测试,电器仪表,0.75,1.38,20120920
002138,顺络电子,元器件,6.42,8.17,20070613
300632,光莆股份,半导体,0.48,1.51,20170406
300054,鼎龙股份,化工原料,6.84,9.61,20100211
300162,雷曼股份,元器件,2.19,3.5,20110113
603890,春秋电子,机械基件,0.48,1.92,20171212
002863,今飞凯达,汽车配件,1.86,3.77,20170418
002642,荣之联,软件服务,4.96,6.62,20111220
600015,华夏银行,银行,128.23,128.23,20030912
600127,金健米业,农业综合,6.42,6.42,19980506
300384,三联虹普,纺织机械,0.61,1.67,20140801
000027,深圳能源,火力发电,39.64,39.64,19930903
000923,河北宣工,铜,1.98,6.53,19990714
600462,九有股份,元器件,5.34,5.34,20030903
603045,福达合金,电气设备,0.25,0.98,20180517
600958,东方证券,证券,51.88,69.94,20150323
300217,东方电热,电器仪表,8.92,12.73,20110518
600783,鲁信创投,矿物制品,7.44,7.44,19961225
002387,维信诺,元器件,3.29,13.68,20100413
300492,山鼎设计,建筑施工,0.25,0.83,20151223
000738,航发控制,航空,11.46,11.46,19970626
000567,海德股份,多元金融,1.5,4.42,19940525
600588,用友网络,软件服务,18.73,19.0,20010518
601788,光大证券,证券,39.07,46.11,20090818
600000,浦发银行,银行,281.04,293.52,19991110
002655,共达电声,元器件,3.6,3.6,20120217
300096,易联众,软件服务,3.77,4.3,20100728
600201,生物股份,生物制药,11.37,11.71,19990115
300316,晶盛机电,专用机械,11.98,12.84,20120511
002700,新疆浩源,供气供热,3.13,4.22,20120921
002699,美盛文化,服饰,7.91,9.1,20120911
002036,联创电子,元器件,3.95,5.51,20040903
